chrom	chromStart	chromEmd	accurate_result
chr1	1400000	1540000	0.4726264476776123
chr1	4600000	4740000	0.3266187906265259
chr1	6200000	6340000	0.48588618636131287
chr1	8200000	8340000	0.23259654641151428
chr1	13600000	13740000	0.0058338940143585205
chr1	14700000	14840000	0.19637012481689453
chr1	20600000	20740000	0.3323262333869934
chr1	24200000	24340000	0.3675934672355652
chr1	24200000	24340000	0.3675934672355652
chr1	24300000	24440000	0.0014635026454925537
chr1	25600000	25740000	0.19004610180854797
chr1	34500000	34640000	0.4441319406032562
chr1	34500000	34640000	0.4441319406032562
chr1	42200000	42340000	0.4740266799926758
chr1	50000000	50140000	0.16788697242736816
chr1	55400000	55540000	0.18687352538108826
chr1	55700000	55840000	0.4824833869934082
chr1	55700000	55840000	0.4824833869934082
chr1	59700000	59840000	0.2369799017906189
chr1	63600000	63740000	0.31993138790130615
chr1	72100000	72240000	0.48928600549697876
chr1	72300000	72440000	0.42225056886672974
chr1	73300000	73440000	0.4038897752761841
chr1	74600000	74740000	0.3623902499675751
chr1	77800000	77940000	0.30631184577941895
chr1	83000000	83140000	0.42583224177360535
chr1	84500000	84640000	0.49648189544677734
chr1	87000000	87140000	0.19118782877922058
chr1	88700000	88840000	0.25942933559417725
chr1	89600000	89740000	0.03954678773880005
chr1	91100000	91240000	0.16330042481422424
chr1	91900000	92040000	0.24215784668922424
chr1	94900000	95040000	0.4583496153354645
chr1	97700000	97840000	0.38117215037345886
chr1	102600000	102740000	0.32227933406829834
chr1	104400000	104540000	0.36960649490356445
chr1	104700000	104840000	0.43692535161972046
chr1	104700000	104840000	0.43692535161972046
chr1	104900000	105040000	0.3707643151283264
chr1	104900000	105040000	0.3707643151283264
chr1	105100000	105240000	0.40990421175956726
chr1	106300000	106440000	0.4998239278793335
chr1	108700000	108840000	0.27373063564300537
chr1	108700000	108840000	0.27373063564300537
chr1	108800000	108940000	0.09587758779525757
chr1	108800000	108940000	0.09587758779525757
chr1	120300000	120440000	0.46026256680488586
chr1	120700000	120840000	0.005831658840179443
chr1	121300000	121440000	0.009660273790359497
chr1	143600000	143740000	0.0058338940143585205
chr1	143800000	143940000	0.005852818489074707
chr1	144400000	144540000	0.009230166673660278
chr1	145300000	145440000	0.24110421538352966
chr1	146300000	146440000	0.0058338940143585205
chr1	146400000	146540000	0.3468726873397827
chr1	148100000	148240000	0.0059458911418914795
chr1	149500000	149640000	0.0058467090129852295
chr1	154400000	154540000	0.40119123458862305
chr1	154400000	154540000	0.40119123458862305
chr1	154600000	154740000	0.45403480529785156
chr1	161500000	161640000	0.031332165002822876
chr1	163700000	163840000	0.4328979551792145
chr1	163800000	163940000	0.15437829494476318
chr1	164000000	164140000	0.3672211170196533
chr1	164100000	164240000	0.26828107237815857
chr1	164900000	165040000	0.45238572359085083
chr1	166000000	166140000	0.1420915722846985
chr1	168000000	168140000	0.4473453462123871
chr1	168000000	168140000	0.4473453462123871
chr1	169200000	169340000	0.3138453960418701
chr1	169200000	169340000	0.3138453960418701
chr1	170200000	170340000	0.4248630106449127
chr1	171100000	171240000	0.3635893166065216
chr1	172800000	172940000	0.3048088550567627
chr1	172800000	172940000	0.3048088550567627
chr1	173200000	173340000	4.903021135760355e-07
chr1	173500000	173640000	0.4564555287361145
chr1	175400000	175540000	0.037996530532836914
chr1	185500000	185640000	0.4094664454460144
chr1	186700000	186840000	0.13465982675552368
chr1	188400000	188540000	0.45477932691574097
chr1	188900000	189040000	0.4767788052558899
chr1	189300000	189440000	0.2062622606754303
chr1	190500000	190640000	0.3426424264907837
chr1	192200000	192340000	0.29181453585624695
chr1	195700000	195840000	0.3582518696784973
chr1	197700000	197840000	0.3231046795845032
chr1	198000000	198140000	0.3129292130470276
chr1	198000000	198140000	0.3129292130470276
chr1	200800000	200940000	0.44941872358322144
chr1	200800000	200940000	0.44941872358322144
chr1	201100000	201240000	0.22210228443145752
chr1	206000000	206140000	0.005868405103683472
chr1	215100000	215240000	0.49595728516578674
chr1	215100000	215240000	0.49595728516578674
chr1	215200000	215340000	0.30004066228866577
chr1	215200000	215340000	0.30004066228866577
chr1	215300000	215440000	0.280703604221344
chr1	216300000	216440000	0.3188191056251526
chr1	218000000	218140000	0.3326796293258667
chr1	218400000	218540000	0.4688648581504822
chr1	218400000	218540000	0.4688648581504822
chr1	221300000	221440000	0.48887866735458374
chr1	222000000	222140000	0.09390568733215332
chr1	222100000	222240000	0.11928689479827881
chr1	222900000	223040000	0.4187946915626526
chr1	229200000	229340000	0.29950255155563354
chr1	232100000	232240000	0.17725598812103271
chr1	232300000	232440000	0.07475244998931885
chr1	235400000	235540000	0.4188234210014343
chr1	235700000	235840000	0.4000832438468933
chr1	235900000	236040000	0.1035100519657135
chr1	235900000	236040000	0.1035100519657135
chr1	237300000	237440000	0.3078165650367737
chr1	238900000	239040000	0.30743128061294556
chr1	239000000	239140000	0.36705100536346436
chr1	239200000	239340000	0.34003037214279175
chr1	240300000	240440000	0.3693518042564392
chr1	242700000	242840000	0.4036829471588135
chr1	247200000	247340000	0.4656057357788086
chr3	1800000	1940000	0.3582969307899475
chr3	1800000	1940000	0.3582969307899475
chr3	4500000	4640000	0.4444119334220886
chr3	6900000	7040000	0.38915812969207764
chr3	7500000	7640000	0.4377358555793762
chr3	9500000	9640000	0.21904292702674866
chr3	12900000	13040000	0.35113129019737244
chr3	15100000	15240000	0.19883635640144348
chr3	15100000	15240000	0.19883635640144348
chr3	15200000	15340000	0.03288161754608154
chr3	15200000	15340000	0.03288161754608154
chr3	19700000	19840000	0.04374140501022339
chr3	20700000	20840000	0.34538406133651733
chr3	22700000	22840000	0.3926195502281189
chr3	24700000	24840000	0.4833662807941437
chr3	30200000	30340000	0.20216801762580872
chr3	32500000	32640000	0.45392921566963196
chr3	35900000	36040000	0.4508703947067261
chr3	41600000	41740000	0.49426689743995667
chr3	44200000	44340000	0.39677584171295166
chr3	46800000	46940000	0.20892828702926636
chr3	46800000	46940000	0.20892828702926636
chr3	50700000	50840000	0.2132464051246643
chr3	52900000	53040000	0.49418631196022034
chr3	54300000	54440000	0.23108777403831482
chr3	59100000	59240000	0.21754217147827148
chr3	60900000	61040000	0.04146844148635864
chr3	64300000	64440000	0.4526665508747101
chr3	65500000	65640000	0.4539949595928192
chr3	66100000	66240000	0.4569683074951172
chr3	70300000	70440000	0.38417482376098633
chr3	71700000	71840000	0.44921013712882996
chr3	74200000	74340000	0.29860568046569824
chr3	75000000	75140000	0.3182464838027954
chr3	75100000	75240000	0.2701762914657593
chr3	75800000	75940000	0.03004959225654602
chr3	76200000	76340000	0.2348860204219818
chr3	80400000	80540000	0.3040948212146759
chr3	80700000	80840000	0.4163476228713989
chr3	82500000	82640000	0.286324143409729
chr3	82700000	82840000	0.414888858795166
chr3	83100000	83240000	0.4025755524635315
chr3	84500000	84640000	0.4113095998764038
chr3	84900000	85040000	0.44863787293434143
chr3	88400000	88540000	0.24369779229164124
chr3	88700000	88840000	0.2681971788406372
chr3	94200000	94340000	0.4960412085056305
chr3	94200000	94340000	0.4960412085056305
chr3	94400000	94540000	0.4255632758140564
chr3	95900000	96040000	0.3392050862312317
chr3	96300000	96440000	0.3319931626319885
chr3	96600000	96740000	0.3567567765712738
chr3	97100000	97240000	0.251492977142334
chr3	98400000	98540000	0.26469874382019043
chr3	98400000	98540000	0.26469874382019043
chr3	100700000	100840000	0.13548505306243896
chr3	102500000	102640000	0.3725774884223938
chr3	102500000	102640000	0.3725774884223938
chr3	103900000	104040000	0.27244651317596436
chr3	108600000	108740000	0.2475709319114685
chr3	108600000	108740000	0.2475709319114685
chr3	110600000	110740000	0.2191745936870575
chr3	117200000	117340000	0.35845816135406494
chr3	117800000	117940000	0.3981567919254303
chr3	117900000	118040000	0.18459108471870422
chr3	125900000	126040000	0.22378483414649963
chr3	139300000	139440000	0.23232164978981018
chr3	144100000	144240000	0.3976583182811737
chr3	145700000	145840000	0.49105438590049744
chr3	146500000	146640000	0.3662455677986145
chr3	146600000	146740000	0.4851903021335602
chr3	147300000	147440000	0.35076698660850525
chr3	147500000	147640000	0.45091116428375244
chr3	147900000	148040000	0.18904414772987366
chr3	147900000	148040000	0.18904414772987366
chr3	149400000	149540000	0.17352890968322754
chr3	149400000	149540000	0.17352890968322754
chr3	150700000	150840000	0.3852701187133789
chr3	152100000	152240000	0.3784724175930023
chr3	154600000	154740000	0.29747653007507324
chr3	155000000	155140000	0.48118507862091064
chr3	163300000	163440000	0.3253006637096405
chr3	163400000	163540000	0.4927808344364166
chr3	163600000	163740000	0.39589256048202515
chr3	163700000	163840000	0.37952136993408203
chr3	165200000	165340000	0.4924067258834839
chr3	166500000	166640000	0.4004935026168823
chr3	166800000	166940000	0.3286803066730499
chr3	172100000	172240000	0.16947606205940247
chr3	173300000	173440000	0.3680649995803833
chr3	173800000	173940000	0.49544256925582886
chr3	173800000	173940000	0.49544256925582886
chr3	175300000	175440000	0.419413298368454
chr3	176000000	176140000	0.34136664867401123
chr3	180100000	180240000	0.01207435131072998
chr3	186600000	186740000	0.45883598923683167
chr3	188000000	188140000	0.47888731956481934
chr3	188400000	188540000	0.1308443546295166
chr3	188700000	188840000	0.4023244082927704
chr3	189500000	189640000	0.3392501175403595
chr3	190500000	190640000	0.4008687734603882
chr3	193100000	193240000	0.4762205183506012
chr3	194000000	194140000	0.4363236427307129
chr3	194000000	194140000	0.4363236427307129
chr3	195600000	195740000	0.4276512861251831
chr7	500000	640000	0.47252002358436584
chr7	500000	640000	0.47252002358436584
chr7	1400000	1540000	0.4174412488937378
chr7	6800000	6940000	0.0085316002368927
chr7	6900000	7040000	0.01267772912979126
chr7	7100000	7240000	0.05735751986503601
chr7	9000000	9140000	0.3725890517234802
chr7	9400000	9540000	0.4280717372894287
chr7	10500000	10640000	0.39472025632858276
chr7	10700000	10840000	0.3066573143005371
chr7	11200000	11340000	0.3988181948661804
chr7	11700000	11840000	0.40082138776779175
chr7	12200000	12340000	0.23007166385650635
chr7	13100000	13240000	0.4920898973941803
chr7	18600000	18740000	0.35164204239845276
chr7	23900000	24040000	0.18824392557144165
chr7	26500000	26640000	0.4799141585826874
chr7	32700000	32840000	0.43908435106277466
chr7	33300000	33440000	0.4050506055355072
chr7	34300000	34440000	0.4027547836303711
chr7	34800000	34940000	0.3670716881752014
chr7	34900000	35040000	0.37743932008743286
chr7	35400000	35540000	0.3762204051017761
chr7	36800000	36940000	0.44213277101516724
chr7	42200000	42340000	0.20589369535446167
chr7	43100000	43240000	0.42689356207847595
chr7	45800000	45940000	0.47626999020576477
chr7	52100000	52240000	0.3910822868347168
chr7	53400000	53540000	0.2769306004047394
chr7	53600000	53740000	0.4352290630340576
chr7	55700000	55840000	0.4717578887939453
chr7	56400000	56540000	0.1455279290676117
chr7	61500000	61640000	0.009292960166931152
chr7	61900000	62040000	0.014911830425262451
chr7	63400000	63540000	0.2702244222164154
chr7	63700000	63840000	0.49859318137168884
chr7	64100000	64240000	0.49587926268577576
chr7	65500000	65640000	0.48684293031692505
chr7	66100000	66240000	0.1167442798614502
chr7	66100000	66240000	0.1167442798614502
chr7	66400000	66540000	0.17689427733421326
chr7	67600000	67740000	0.2268618941307068
chr7	68500000	68640000	0.26470527052879333
chr7	75000000	75140000	0.009477943181991577
chr7	77600000	77740000	0.2496630847454071
chr7	77900000	78040000	0.15756243467330933
chr7	78100000	78240000	0.4930754601955414
chr7	78300000	78440000	0.23953136801719666
chr7	79000000	79140000	0.2013387680053711
chr7	79300000	79440000	0.47303617000579834
chr7	80000000	80140000	0.2848900556564331
chr7	80500000	80640000	0.3051583170890808
chr7	83200000	83340000	0.303322970867157
chr7	86400000	86540000	0.3926902711391449
chr7	86400000	86540000	0.3926902711391449
chr7	87200000	87340000	0.15579819679260254
chr7	89100000	89240000	0.461323618888855
chr7	92000000	92140000	0.37847304344177246
chr7	93000000	93140000	0.40870028734207153
chr7	94600000	94740000	0.23393085598945618
chr7	96900000	97040000	0.32134220004081726
chr7	99200000	99340000	0.1735098659992218
chr7	109300000	109440000	0.36582911014556885
chr7	109900000	110040000	0.45153552293777466
chr7	110800000	110940000	0.45280271768569946
chr7	112500000	112640000	0.25017720460891724
chr7	115500000	115640000	0.40714648365974426
chr7	119500000	119640000	0.47739002108573914
chr7	120300000	120440000	0.2660624384880066
chr7	121800000	121940000	0.40285712480545044
chr7	122300000	122440000	0.4925089478492737
chr7	123300000	123440000	0.3516983985900879
chr7	135500000	135640000	0.07658356428146362
chr7	136500000	136640000	0.39227160811424255
chr7	137400000	137540000	0.3945796489715576
chr7	141600000	141740000	0.47111690044403076
chr7	145900000	146040000	0.23429176211357117
chr7	146300000	146440000	0.3044249415397644
chr7	146600000	146740000	0.2689617872238159
chr7	146700000	146840000	0.3470957577228546
chr7	147500000	147640000	0.26382580399513245
chr7	151600000	151740000	0.10412329435348511
chr7	151600000	151740000	0.10412329435348511
chr7	152900000	153040000	0.2483895719051361
chr7	154200000	154340000	0.456768274307251
chr7	155700000	155840000	0.32172536849975586
chr7	156000000	156140000	0.4066871404647827
chr7	157500000	157640000	0.1762494444847107
chr7	158100000	158240000	0.1492944359779358
chr7	158900000	159040000	0.24888423085212708
